Year,Conference,Place,School
2024,Heart of America Athletic Conference,6,St. Ambrose (Iowa) - Mens
2024,Heart of America Athletic Conference,7,Baker (Kan.) - Mens
2024,Heart of America Athletic Conference,8,William Penn (Iowa) - Mens
2024,Heart of America Athletic Conference,9,Benedictine (Kan.) - Mens
2024,Kansas Collegiate Athletic Conference,1,Saint Mary (Kan.) - Mens
2024,Kansas Collegiate Athletic Conference,2,Friends (Kan.) - Mens
2024,Kansas Collegiate Athletic Conference,3,York (Neb.) - Mens
2024,Kansas Collegiate Athletic Conference,4,Oklahoma Wesleyan University - Mens
2024,Kansas Collegiate Athletic Conference,5,Avila (Mo.) - Mens
2024,Kansas Collegiate Athletic Conference,6,Ottawa (Kan.) - Mens
2024,Kansas Collegiate Athletic Conference,7,Jamestown (N.D.) - Mens
2024,Kansas Collegiate Athletic Conference,8,Bethany (Kan.) - Mens
2024,Mid-South Conference,1,Campbellsville (Ky.) - Mens
2024,Mid-South Conference,2,Cumberlands (Ky.) - Mens
2024,Mid-South Conference,3,Cumberland (Tenn.) - Mens
2024,Mid-South Conference,4,Lindsey Wilson (Ky.) - Mens
2024,Mid-South Conference,5,Rio Grande (Ohio) - Mens
2024,Mid-South Conference,6,Midway (Ky.) - Mens
2024,Wolverine-Hoosier Athletic Conference,1,Indiana Tech - Mens
2024,Wolverine-Hoosier Athletic Conference,2,Marian (Ind.) - Mens
2024,Wolverine-Hoosier Athletic Conference,3,Cornerstone (Mich.) - Mens
2024,Wolverine-Hoosier Athletic Conference,4,Rochester Christian (Mich.) - Mens
2024,Wolverine-Hoosier Athletic Conference,5,Lourdes (Ohio) - Mens
2024,Wolverine-Hoosier Athletic Conference,6,Cleary (Mich.) - Mens
2024,Wolverine-Hoosier Athletic Conference,7,Siena Heights (Mich.) - Mens
2024,Wolverine-Hoosier Athletic Conference,8,Defiance (Ohio) - Mens
2025,American Midwest Conference/Sooner Athletic Conference,1,Oklahoma City University - Mens
2025,American Midwest Conference/Sooner Athletic Conference,2,Wayland Baptist (Texas) - Mens
2025,American Midwest Conference/Sooner Athletic Conference,3,Texas Wesleyan University - Mens
2025,American Midwest Conference/Sooner Athletic Conference,4,Williams Baptist College - Mens
2025,American Midwest Conference/Sooner Athletic Conference,5,Central Baptist (Ark.) - Mens
2025,American Midwest Conference/Sooner Athletic Conference,6,Central Christian College (KS) - Mens
2025,Appalachian Athletic Conference,1,Life University - Mens
2025,Appalachian Athletic Conference,2,Southeastern University - Mens
2025,Appalachian Athletic Conference,3,Reinhardt University (GA) - Mens
2025,Appalachian Athletic Conference,4,Keiser University - Mens
2025,Appalachian Athletic Conference,5,St. Thomas University - Mens
2025,Appalachian Athletic Conference,6,Truett-McConnell (Ga.) - Mens
2025,Appalachian Athletic Conference,7,Brewton-Parker (GA) - Mens
2025,Appalachian Athletic Conference,8,Montreat College - Mens
2025,Appalachian Athletic Conference,9,WVU Tech (W.Va.) - Mens
2025,Appalachian Athletic Conference,10,University of Pikeville - Mens
2025,Cascade Collegiate Conference,1,Southern Oregon University - Mens
2025,Cascade Collegiate Conference,2,Embry-Riddle (Ariz.) - Mens
2025,Cascade Collegiate Conference,3,Providence (Mont.) - Mens
2025,Cascade Collegiate Conference,4,Arizona Christian University - Mens
2025,Cascade Collegiate Conference,5,Eastern Oregon University (OR) - Mens
